"item_code","category_code","item_name","fkko_code","hazard_class"
"91215000000","OSSG","Лом футеровок печей производств кокса, нефтепродуктов, химических продуктов","91215000000","5"
"91215001204","OSSG","лом футеровок печей производств химических веществ и химических продуктов","91215001204","5"
"91215111203","OSSG","лом футеровок реакторов пиролиза углеводородного сырья производства винилхлорида","91215111203","5"
"91215211204","OSSG","лом футеровок печей и печного оборудования производства кокса","91215211204","5"
"91215611204","OSSG","лом графитовой футеровки печей и печного оборудования производства соединений фтора","91215611204","5"
"91216000000","OSSG","Лом футеровок печей термического обезвреживания органических отходов","91216000000","5"
"91216001213","OSSG","лом футеровки печи термического обезвреживания жидких отходов органического синтеза","91216001213","5"
"91216002214","OSSG","лом футеровки печи термического обезвреживания жидких отходов органического синтеза малоопасный","91216002214","5"
"91218000000","OSSG","Отходы огнеупорного кирпича прочие","91218000000","5"
"91218101215","OSSG","лом шамотного кирпича незагрязненный","91218101215","5"
"91218111214","OSSG","лом периклазо-хромитового кирпича незагрязненный","91218111214","5"
"91218161213","OSSG","лом шамотного кирпича, загрязненный соединениями хрома","91218161213","5"
"91218171214","OSSG","лом шамотного кирпича нагревательных и (или) отжиговых установок","91218171214","5"
"91219000000","OSSG","Прочие отходы огнеупорных материалов от ремонта печей и печного оборудования","91219000000","5"
"91219101215","OSSG","лом огнеупорного мертеля незагрязненный","91219101215","5"
"91219111214","OSSG","лом футеровок печей и печного оборудования для сжигания отходов потребления на производстве, подобных коммунальным","91219111214","5"
"91219511404","OSSG","мертель шамотный алюмосиликатный, утративший потребительские свойства","91219511404","5"
"91300000000","OSSG","Отходы обслуживания оборудования, предназначенного для хранения опасных веществ","91300000000","5"
"91300101204","OSSG","лом кислотоупорного кирпича","91300101204","5"
"91300201204","OSSG","лом углеграфитовых блоков","91300201204","5"
"91300901204","OSSG","лом кислотоупорных материалов в смеси","91300901204","5"
"91301111204","OSSG","отходы гуммировочных покрытий","91301111204","5"
"91310100000","OSSG","Отходы при обслуживании оборудования для хранения химических коррозионноактивных продуктов","91310100000","5"
"91310111204","OSSG","отходы антикоррозионной резины при обслуживании оборудования для хранения химических коррозионноактивных продуктов","91310111204","5"
"91311111204","OSSG","отходы графита при ремонте графитового оборудования","91311111204","5"
